Brand,MC,NSU,NSV,GST Value,NSV-GST,Gross Sales,MRP,SP,DIS,DIS%,Month,Year,ZONE_EAST,ZONE_NORTH,ZONE_SOUTH
2024,75.26885755475172,316.0,18423.22,875.14,17548.08,18900.0,59.81012658,58.30132911,1.5087974700000046,2.52,5,3,1,0,0
1064,75.13415120872888,26.0,2543.31,0.0,2543.31,2548.0,98.0,97.81961538,0.1803846199999981,0.18,10,2,0,0,1
11524,299.83648317509915,171.0,18871.87,898.01,17973.86,20567.0,120.2748538,110.3618129,9.913040899999999,8.24,1,2,0,1,0
1659,178.58511577095155,30.0,1760.0,83.76,1676.24,1760.0,58.66666667,58.66666667,0.0,0.0,9,2,0,0,0
4778,82.81352285357089,1.91,114.6,0.0,114.6,114.6,60.0,60.0,0.0,0.0,4,3,0,1,0
1064,85.61314821182111,4335.0,653099.15,0.0,653099.15,659007.4,152.0201615,150.6572434,1.3629181000000017,0.9,12,2,0,1,0
1138,89.80587188752207,631.0,63824.43,3036.41,60788.020000000004,66005.0,104.6038035,101.1480666,3.455736899999991,3.3,7,2,0,0,1
4778,88.20689053412984,553.336,62701.81,0.0,62701.81,62752.46,113.4075137,113.315978,0.09153569999999434,0.08,6,3,0,1,0
2365,162.24913394059575,15.0,2700.0,128.55,2571.45,2700.0,180.0,180.0,0.0,0.0,9,3,0,0,0
73,446.68869693271216,204.0,13790.61,655.33,13135.28,13872.0,68.0,67.60102941,0.3989705900000047,0.59,4,3,0,0,1
11524,51.640379070110676,1591.0,266747.04,12696.42,254050.61999999997,281892.0,177.1791326,167.6599874,9.519145199999997,5.37,5,3,1,0,0
405,207.5799929715364,283.0,350238.92,16676.73,333562.19,354548.0,1252.819788,1237.593357,15.226431000000048,1.22,2,1,0,1,0
11524,117.90690865789054,79.0,3382.18,160.81,3221.37,4177.0,52.87341772,42.81240506,10.061012659999996,19.03,2,2,0,0,0
2365,52.94170962301731,520.0,9508.46,451.44,9057.019999999999,10239.0,19.69038462,18.2855,1.4048846200000007,7.13,3,1,0,1,0
